fecha,hora,mmsi,nombre,zona
2026-09-07,17:20:10,701006462,DON EGIDIO,DelGuazu
2026-09-07,17:20:10,755120000,YERUTI I,DelGuazu
2026-09-07,17:20:10,701006412,IQUIQUE,DelGuazu
2026-09-07,17:20:10,720946000,DON KASBERGEN,DelGuazu
2026-09-07,17:20:10,755077000,,BellaVista
2026-09-07,17:20:10,755022000,,BellaVista
2026-09-07,17:20:10,755004071,,BellaVista
2026-09-07,17:20:10,755024000,,BellaVista
2026-09-07,17:20:10,720974026,,BellaVista
2026-09-07,17:20:10,755084000,,BellaVista
2026-09-07,17:20:10,720687000,,BellaVista
2026-09-07,17:20:10,755008000,SARA A,BellaVista
2026-09-07,17:20:10,720954000,HB PERSEUS,BellaVista
2026-09-07,17:20:10,755003963,DONA MAGDA,BellaVista
2026-09-07,17:20:10,755091000,,BellaVista
2026-09-07,17:20:10,755156000,GF ITAIPU,BellaVista
2026-09-07,17:20:10,720985000,HB HYDRA,BellaVista
2026-09-07,17:20:10,755241100,PENELOPE,BellaVista
2026-09-07,17:30:11,636023897,ANNELIESE,SanLorenzo
2026-09-07,17:30:11,636023256,INGENUITY,SanLorenzo
2026-09-07,17:30:11,636015971,STOLT ZULU,SanLorenzo
2026-09-07,17:30:11,352006380,CL KIBOU,SanLorenzo
2026-09-07,17:30:11,701503000,GC77 GFO SAN MATIAS,SanLorenzo
2026-09-07,17:30:11,636024066,K BEREKET,SanLorenzo
2026-09-07,17:30:11,477932500,ROSCO BANYAN,SanLorenzo
2026-09-07,17:30:11,720694000,IB LADARIO,SanLorenzo
2026-09-07,17:30:11,352006388,NORSE BORNHOLM,SanLorenzo
2026-09-07,17:30:11,257897000,BOW FIRDA,SanLorenzo
2026-09-07,17:30:11,636024379,STAR WESTPORT,SanLorenzo
2026-09-07,17:30:11,7010004,,SanLorenzo
2026-09-07,17:30:11,538010750,TOKYO SPIRIT,SanLorenzo
2026-09-07,17:30:11,538006458,ODYSSEUS N,SanLorenzo
2026-09-07,17:30:11,311000195,CS SARAFINA,SanLorenzo
2026-09-07,17:30:11,538009547,MEDITERRANEAN SPIRIT,SanLorenzo
2026-09-07,17:30:11,311016600,CS CAPRICE,SanLorenzo
2026-09-07,17:30:11,563054100,MTM BIG APPLE,SanLorenzo
2026-09-07,17:30:11,636024043,TG CRAB,SanLorenzo
2026-09-07,17:30:11,255916599,RANA,SanLorenzo
2026-09-07,17:30:11,636023728,TAI STEADINESS,SanLorenzo
2026-09-07,17:30:11,755032000,RUBEN H,SanLorenzo
2026-09-07,17:30:11,255915742,,SanLorenzo
2026-09-07,17:30:11,352006096,PALEXPO,SanLorenzo
2026-09-07,17:30:11,563151400,FRANCESCO,SanLorenzo
2026-09-07,17:30:11,538010532,DEANA,SanLorenzo
2026-09-07,17:30:11,538090690,LEONARDO,SanLorenzo
2026-09-07,17:30:11,352004948,OBE UNITY,SanLorenzo
2026-09-07,17:30:11,355174000,APOGEE SPIRIT,SanLorenzo
2026-09-07,17:30:11,636025133,YAMI BENEFIT,SanLorenzo
2026-09-07,17:30:11,701006310,ARGENTINO I,SanLorenzo
2026-09-07,17:30:11,538012594,KAPETANIOS,SanLorenzo
2026-09-07,17:30:11,701153000,PAULINO C,SanLorenzo
2026-09-07,17:30:11,341694002,H7 HSB5,SanLorenzo
2026-09-07,17:30:11,701006670,BRUTUS,SanLorenzo
2026-09-07,17:30:11,720671000,IB ROSARIO,SanLorenzo
2026-09-07,17:30:11,755164000,BELEN B,SanLorenzo
2026-09-07,17:30:11,701006443,MAYU,SanLorenzo
2026-09-07,17:30:11,701006297,ANTONIO MARIA FERRO,SanLorenzo
2026-09-07,17:30:11,755991013,PUMA,SanLorenzo
2026-09-07,17:30:11,755134000,LADOCE H,SanLorenzo
2026-09-07,17:30:11,755002470,DONA CARMEN,SanLorenzo
2026-09-07,17:30:11,701006675,CAMPEADOR,SanLorenzo
2026-09-07,17:30:11,701006466,NEPTUNO,SanLorenzo
2026-09-07,17:30:11,701006926,FAVORITO SAN ANTONIO,SanLorenzo
2026-09-07,17:30:11,701006396,VB RECOLETA,SanLorenzo
2026-09-07,17:30:11,701006899,DON BASILIO,SanLorenzo
2026-09-07,17:30:11,755707081,IB ENCARNACION,SanLorenzo
2026-09-07,17:30:11,701006900,DON MARIO I,SanLorenzo
2026-09-07,17:30:11,701006858,CUECA,SanLorenzo
2026-09-07,17:30:11,636026119,EVAGELIA,SanLorenzo
2026-09-07,17:30:11,701006740,GUILLERMO C,SanLorenzo
2026-09-07,17:30:11,755029000,SAN MARTIN I,SanLorenzo
2026-09-07,17:30:11,755001797,PARAPITI.,SanLorenzo
2026-09-07,17:30:11,701006966,TIGRE,SanLorenzo
2026-09-07,17:30:11,755021000,CAVALIER VII,SanLorenzo
2026-09-07,17:30:11,701001024,ALBERTO CACHIARELLI,SanLorenzo
2026-09-07,17:30:11,351011000,OCEAN CROWN,SanLorenzo
2026-09-07,17:30:11,538008779,LIVADI,SanLorenzo
2026-09-07,17:30:11,755004326,OLIMPO,SanLorenzo
2026-09-07,17:30:11,701006242,,Rosario
2026-09-07,17:30:11,701006901,DON PANCHO GIRALDEZ,Rosario
2026-09-07,17:30:11,636023256,INGENUITY,Rosario
2026-09-07,17:30:11,636015971,STOLT ZULU,Rosario
2026-09-07,17:30:11,701503000,GC77 GFO SAN MATIAS,Rosario
2026-09-07,17:30:11,636024066,K BEREKET,Rosario
2026-09-07,17:30:11,477932500,ROSCO BANYAN,Rosario
2026-09-07,17:30:11,720694000,IB LADARIO,Rosario
2026-09-07,17:30:11,352006388,NORSE BORNHOLM,Rosario
2026-09-07,17:30:11,257897000,BOW FIRDA,Rosario
2026-09-07,17:30:11,636024379,STAR WESTPORT,Rosario
2026-09-07,17:30:11,563065800,FLORA SCHULTE,Rosario
2026-09-07,17:30:11,7010004,,Rosario
2026-09-07,17:30:11,538010750,TOKYO SPIRIT,Rosario
2026-09-07,17:30:11,538006458,ODYSSEUS N,Rosario
2026-09-07,17:30:11,538009547,MEDITERRANEAN SPIRIT,Rosario
2026-09-07,17:30:11,311016600,CS CAPRICE,Rosario
2026-09-07,17:30:11,755164000,BELEN B,Rosario
2026-09-07,17:30:11,563054100,MTM BIG APPLE,Rosario
2026-09-07,17:30:11,352001142,GLORY FIRST,Rosario
2026-09-07,17:30:11,755002470,,Rosario
2026-09-07,17:30:11,636024043,TG CRAB,Rosario
2026-09-07,17:30:11,314952000,,Rosario
2026-09-07,17:30:11,255916599,RANA,Rosario
2026-09-07,17:30:11,636023728,TAI STEADINESS,Rosario
2026-09-07,17:30:11,636023897,ANNELIESE,Rosario
2026-09-07,17:30:11,352006096,PALEXPO,Rosario
2026-09-07,17:30:11,701006856,PILCOMAYO,Rosario
2026-09-07,17:30:11,538010532,DEANA,Rosario
2026-09-07,17:30:11,538090690,LEONARDO,Rosario
2026-09-07,17:30:11,352004948,OBE UNITY,Rosario
2026-09-07,17:30:11,701006679,,Rosario
2026-09-07,17:30:11,755029000,,Rosario
2026-09-07,17:30:11,355174000,APOGEE SPIRIT,Rosario
2026-09-07,17:30:11,636025133,YAMI BENEFIT,Rosario
2026-09-07,17:30:11,701006310,ARGENTINO I,Rosario
2026-09-07,17:30:11,538012594,KAPETANIOS,Rosario
2026-09-07,17:30:11,701153000,PAULINO C,Rosario
2026-09-07,17:30:11,341694002,H7 HSB5,Rosario
2026-09-07,17:30:11,755001797,PARAPITI.,Rosario
2026-09-07,17:30:11,636024670,,Rosario
2026-09-07,17:30:11,701006297,ANTONIO MARIA FERRO,Rosario
2026-09-07,17:30:11,755991013,,Rosario
2026-09-07,17:30:11,720671000,,Rosario
2026-09-07,17:30:11,701006670,BRUTUS,Rosario
2026-09-07,17:30:11,701006675,CAMPEADOR,Rosario
